Course	Room	Teacher	Time	Students
003442	CARP15	3818982	1	3375410 3466014 3559476 3651033 3465181 3483036 3485774 3576230 3667385 3559612 3486050 3690346 3560487 3630915 3650228 3692380 3717137 3419024 3576419 3797643 
002367	CARP21	0493725	2	3397840 3575259 3693280 3694481 3574519 3575071 3595071 3498974 3606293 3598090 3533093 3692380 3674492 3768025 3793612 3818675 3819628 3821006 3821048 3816203 3483977 3821180 3666161 3668849 3668895 3797692 3797744 3797829 3797856 3797859 3910645 3910724 
002394	CARP21	0020988	1	3577741 3512896 3576792 3560193 3458087 3581913 3576566 3668827 3668895 
002412	DAL119	0031373	1	3397840 3484887 3540190 3639772 3693280 3576753 3595071 3464327 3505185 3476864 3486838 3631042 3691514 3483003 3668911 
001767	EHIII	3474008	2	3568950 3483036 3576230 3689402 3560199 3576550 3576565 3797696 
003572	EHII	0897399	2	3414205 3443522 3443731 3446645 3447306 3464666 3465591 3467427 3476860 3478964 3481102 3481354 3481520 3483278 3484619 3484845 3487040 3539996 3440687 3476418 3479804 3485642 3486382 3478102 3477014 3460586 3486083 3474789 3481702 3438999 3484202 3486050 3486571 3477004 
001839	PK10	0898918	1	3462817 3463768 3470393 3474620 3481813 3487266 3505157 3561074 3576260 3580261 3581605 3480999 3481203 3485550 3486782 3516634 3482739 3543742 3581232 3581081 3650277 3457988 3480732 3483467 3457873 3477425 3485169 3557244 3472549 3576475 3576522 
001845	PK10	0123161	2	3426943 3496673 3501476 3560256 3577167 3580261 3638301 3694428 3487090 3559963 3466364 3580326 3478419 3689375 3768458 3823130 3591211 3472549 3481862 3576510 
002153	PK264	3897776	1	3694428 3574519 3666801 3690204 3712888 3820774 
008769	TH104	3554385	1	3426943 3516442 3540714 3602816 3690800 3575071 3692514 3620017 3690020 3692915 3651816 3666207 3693276 3695542 3559464 3663306 3692756 3694289 3581851 3689919 3695345 3695543 3579645 3611048 3680751 3687862 3716357 3728679 3768356 3796007 3796723 3797564 3816181 3816483 3480734 3689329 3694828 3581265 3768686 
006587	BYC239	0031399	1	3430697 3476899 3482198 3650636 3461517 3486844 3483996 3485053 
008774	TH102	0576472	2	3430697 3559319 3618222 3537536 3668386 3665300 3709927 3715174 3768972 3790244 3820397 3820961 3797745 3797862 
002472	DAL119	1051497	2	3433962 3469119 3475298 3479355 3481875 3485054 3483925 3476908 3479085 3486141 3464398 3484750 3486844 3559804 3650956 3477580 3487093 3465588 3480166 3486838 3487276 3485816 3576325 3576364 3576370 3576390 3576429 3576558 
005310	CARP17	1020104	1	3437011 3447322 3465050 3482989 3478309 3465244 3486623 3486609 3576303 3576324 3576357 
004036	GOB	3646540	1	3438294 3692440 3485290 3485549 3651750 3669030 3797880 
004065	GOB	3646540	2	3438294 3485290 3474598 3561098 3576503 
003520	EHII	3393009	1	3443731 3447306 3481354 3551641 3561001 3440687 3544254 3477014 3484324 3578488 3581846 3480150 3580341 
005847	CARP17	0031582	2	3606418 3557742 3656490 3693092 3667385 3694039 3692294 3612427 3694712 3775417 3797532 
012729	CARP13	3194193	2	3484816 3533264 3465181 3576569 
014119	DAL212E	3555100	2	3557478 3561001 3608602 3667608 3486632 3486623 3655393 3467781 3693789 3560511 3581389 3692536 3601391 3578191 3667311 3692519 3712913 3818025 3679221 3576315 3668910 3668941 3797831 
004355	TAYSEM	0847593	3	3479382 3580261 3608602 3691748 3485642 3615055 3708949 3816860 3820378 3820965 3821006 3821886 3781152 3821097 
005263	GOA	0493855	3	3447322 3482989 3544254 3581870 3485537 3433686 3457873 3464306 3484361 3462019 3576417 3576423 3576529 3668825 3668912 3668941 3668971 
004304	CARP15	0316015	3	3466014 3469119 3485054 3486858 3461937 3486141 3487093 3576485 3576494 3576558 
006846	PK234	3461209	1	3451168 3480714 3481664 3485848 3496673 3521461 3577485 3581456 3591591 3638301 3650578 3651017 3668196 3691416 3691981 3483298 3579864 3631215 3489089 3558796 3575483 3651605 3695368 3470846 3691241 3693789 3650956 3693224 3461197 3481943 3481805 3574137 3591844 3694780 3693813 3430298 3105802 3482323 3482592 3576311 3576367 3576403 3576406 3576421 3576464 3576496 3576536 3668790 3668829 3668846 3668912 3669022 3669050 3797616 
013192	PK10	3459335	3	3451168 3486379 3487055 3521461 3529298 3481203 3483587 3692269 3464327 3470846 3543742 3481702 3481690 3457988 3480732 3576411 
001248	GOB	0135660	3	3451331 3454182 3467983 3475941 3478747 3480935 3481798 3483084 3483557 3484763 3485504 3487321 1160238 3466011 3487090 3475745 3485912 3486632 3479054 3484898 3485028 3580341 3484216 3487310 
002164	PK264	0180723	2	3451724 3471450 3505157 3521265 3559149 3561074 3579723 3580248 3580251 3580269 3581605 3650578 3516634 3694797 3581996 3471447 3574558 3577187 3576506 
003526	EHII	0897706	3	3451724 3464666 3474374 3481520 3483278 3560687 3484202 3486571 3694101 3668955 3797640 3797810 
001213	CARP15	0031471	4	3454182 3475941 3480935 3483084 3483557 3485504 3521272 3557478 3560858 3576126 3466011 3487090 3559963 3575735 3485756 3475745 3538400 3537536 3540124 3479054 3484898 3485028 3485327 3479350 3484361 3478343 3484216 3487310 
008824	TH102	0031572	3	3483567 3479804 3444536 3447478 
013059	TH223	3470325	1	3461975 3481075 
001768	EHIII	3474420	1	3460586 3475327 3693565 3463199 3482018 3485636 3695292 3483546 3691616 
004809	CARP13	3194193	3	3462293 3533264 3559843 3575908 3692756 3694738 3560487 3692380 3677885 3796974 3818227 3819309 3789464 3576328 3797644 3797690 
006023	PK349	1141520	1	3443522 3462293 3581609 3651439 3666520 3671851 3689893 3690778 3692849 3557742 3578747 3581920 3668538 3691983 3692761 3476908 3479085 3485756 3667749 3691834 3692098 3695434 3695510 3591436 3689402 3694813 3572330 3668623 3533093 3631101 3479054 3580714 3693253 3479311 3693840 3491953 3645720 3694754 3568636 3576002 3577146 3619718 3642332 3689375 3575266 3606290 3609553 3612427 3630474 3630501 3650239 3651585 3652353 3665300 3667464 3690799 3690845 3691228 3691783 3692862 3699567 3708638 3710476 3716140 3722764 3722992 3725997 3769368 3773692 3774943 3775417 3788990 3789136 3789175 3789573 3796906 3797164 3797532 3797576 3816104 3816336 3816993 3817087 3818024 3818676 3818762 3818770 3818773 3818807 3819177 3819598 3820037 3820732 3820961 3821077 3821088 3821162 3821179 3821195 3821231 3821439 3821440 3821588 3815902 3816924 3821097 3462019 3559225 3689931 3694810 3621523 3689991 3576425 3668810 3669002 3797673 3797718 3797728 
008773	TAYSEM	3896858	4	3462565 3575971 3631101 3559903 3629518 3481894 3714653 3788983 3788990 3818675 3559225 3576571 
011230	PK349	0564741	2	3463439 3486858 3576013 3581171 3452445 3465103 3480401 
001898	PK25	3577231	4	3463768 3476797 3487055 3462514 3461197 3467093 3481862 
007127	DAL6	3198619	1	3464855 3465327 3474207 3475950 3481607 3482194 3483385 3691361 3482264 3464638 3484334 3478951 3481562 3485803 3487261 3467199 3474598 3452988 3478691 3483085 3486501 3469560 3463919 3576359 
004885	TH104	0672202	4	3465036 3480382 3481202 3667749 3482101 3580139 3484272 3580341 3655749 3482588 3576379 3576578 3668770 3576451 
009299	CARP21	0321808	5	3465036 3478713 3576753 3481518 3458441 3484272 3558963 3576465 3669045 
014534	BYC131	0031631	1	3487055 3501476 3538202 3559815 3577806 3652276 3694434 3479976 3581085 3480810 3540124 3552259 3693084 3661465 3823113 3668884 3668984 3797605 3797613 
003525	EHII	3818518	4	3443731 3466014 3484887 3476418 3483036 3486382 3486083 3502893 3559900 3486050 3477004 3497948 
