Course	Room	Teacher	Time	Students
001837	PK229	3452118	1	
002153	PK278	3415849	1	3105802 3481664 3489089 3497993 3539996 3560256 3579291 3579864 3580211 3611135 3629467 3651605 3652353 3692796 3692862 3693789 3694754 3695368 3722764 3797331 3818029 3818274 3821069 3823130 3559464 3630501 3650277 3652276 3687862 3818773 3821440 3558796 3609553 3715444 3721962 3816483 3651487 3671851 3695543 3710991 3820588 3716638 3789175 3668196 3816722 3581918 3650239 3821197 3694101 3699567 3768197 3680751 3689500 3722926 3821097 3816554 3816104 3693224 3820732 3576212 
006847	PK243	3646602	1	3430298 3461197 3475298 3480714 3481805 3493748 3496673 3516634 3591591 3693813 3483298 3574137 3631215 3496439 3521461 3529298 3650578 3575483 3470846 3481943 3591844 3650956 3691241 3638301 3651017 3482323 3482592 3576311 3576403 3576406 3576410 3576421 3576464 
012832	DAL6	1168592	1	3397840 3479085 3469520 3487093 3485054 3485361 3486141 3546417 3559970 3580095 3465588 3559804 3446353 3576429 3668923 
015106	DAL1	3896857	1	3668623 3464398 3576231 3433962 3480166 3486838 3576426 3576521 
001851	PK126	0409956	1	3474620 3476797 3576260 3581085 3581920 3694432 3485169 3486379 3467093 3481862 3576386 3576512 3599497 
008770	TAYB	0428728	1	3426943 3516442 3596713 3651365 3651816 3689893 3690020 3694481 3694813 3728679 3796007 3691983 3693276 3480734 3690800 3796723 3695542 3689919 3611048 3666207 3692756 3579645 3692269 3816336 3620017 3663306 3694289 3695022 3768356 3818024 3689329 3816181 3692514 3694828 3768686 3474395 3910507 3910592 
014984	PK229	3577231	2	3426943 3461197 3475573 3476797 3575928 3581085 3559464 3650277 3487055 3591211 3481862 3576415 3576522 3797828 
009303	TH116	0029475	1	3432357 3445680 3465050 3467427 3561772 3479355 3487055 3433686 3579579 3478309 3581827 3467199 3486782 3457873 3476082 3506165 3575581 3576417 3576465 3576529 
013182	CARP25	1020104	2	3432357 3474374 3538688 3544254 3774943 3789070 3796732 3817668 3819367 3485628 3667503 3771747 3694810 3789464 3486838 3557478 3768972 3576548 3576563 
015113	DAL300	0820103	1	3443731 3456653 3484750 3558739 3577795 3692766 3487266 3480571 3560234 3464985 3556617 3580159 3467932 3476899 3580912 3484243 3486389 3576382 3576391 3576408 3668761 3910754 
007374	TH116	0987494	2	3444536 3480592 3483567 3578861 3579592 3581609 3606350 3651816 3689893 3693084 3694434 3694754 3695285 3704166 3774116 3818746 3531305 3621523 3574137 3667676 3671851 3483587 3821008 3595163 3620017 3651573 3789136 3480867 3560487 3577806 3612623 3642204 3692915 3692187 3440687 3580912 3651033 3487621 3581247 3576460 3578673 3797605 3797680 3797823 3910628 3910654 
007396	TH224	0162977	3	3444536 3476927 3483567 3501476 3524963 3579592 3606350 3635008 3651816 3667319 3443522 3579099 3822613 3480939 3544945 3668196 3460569 3483587 3485636 3560234 3575309 3690482 3556617 
004394	DAL10	0138190	1	
004306	PK200	1165566	1	3451724 3466014 3468070 3474140 3456089 3477576 3482144 3451557 3576365 3576425 3576444 3576555 
007087	DAL212A	0031573	2	3451724 3581207 3691361 3694318 3542887 3668768 3668919 3692372 
003029	DAL212E	3764395	2	3456653 3481562 3577022 3578811 3480571 3580114 3576248 3694426 3461937 3576879 3580397 3576424 3668782 3668867 3668874 3668880 3668881 3668947 3669006 3669038 3797740 
003031	TAYG	0375562	3	3456653 3433686 3486569 
003478	EHII	0431946	1	3463560 3508682 3592325 3475941 3460569 3465591 3773692 3477014 3610671 3574558 3851907 3576331 3668917 
004889	DAL10	0031373	2	3458441 3478713 3481221 3484272 3484816 3484361 3480382 3468749 1088365 3464848 3482588 3576465 3576569 
011313	DAL10	0672202	3	3458441 3465050 3481944 3482989 3486653 3521265 3560687 3581830 3609410 3695201 3695643 3712913 3818029 3469520 3484334 3597302 3694741 3619255 3691694 3821180 3540705 3468749 3559612 3820380 3456660 3480069 3818805 3581149 3477580 3474789 3576462 3576499 3576578 
006043	PK328	0207327	1	3460338 3478356 3478506 3482288 3574873 3575898 3577022 3578811 3581980 3650596 3691575 3692771 3694006 3695373 3464850 3469615 3481643 3486852 3505157 3556970 3577109 3464327 3578804 3580114 3485288 3628726 3694426 3513947 3448314 3477425 3485727 3645471 3475933 3581952 3822535 3694797 3575916 3578252 3576420 3576530 3668782 3797740 
006874	PK234	1167884	1	3558543 3693921 3493704 
014570	PK126	0409956	2	3460338 3489089 3574519 3580251 3608097 3611135 3615055 3692098 3712888 3728679 3764208 3768625 3781152 3797331 3818762 3819332 3820885 3821069 3717137 3722992 3789573 3821231 3693712 3790244 3817427 3725997 3774808 3789507 3649880 3817487 3714653 3577187 3785953 3816722 3667404 3768620 3788897 3816336 3819304 3821166 3694101 3694668 3818807 3819645 3821254 3680751 3693219 3708949 3722926 3789529 3796247 3816486 3818024 3818025 3820768 3821269 3481894 3648970 3694712 3712905 3715174 3797164 3817419 3693286 3660063 3668812 3668912 3669028 3797625 3797643 3910533 3910741 
014571	PK126	3577231	3	3460338 3489089 3574519 3580251 3608097 3611135 3615055 3692098 3712888 3728679 3764208 3768625 3781152 3797331 3818762 3819332 3820885 3821069 3717137 3722992 3789573 3821231 3693712 3790244 3817427 3725997 3774808 3789507 3817487 3714653 3577187 3785953 3816722 3788897 3816336 3819304 3821166 3694101 3694668 3818807 3819645 3821254 3680751 3693219 3708949 3716357 3722926 3789529 3796247 3818024 3818025 3820768 3821269 3481894 3648970 3694712 3712905 3715174 3797164 3817419 3693286 3660063 3668812 3668912 3797625 3910533 3910741 
001749	GOHEP	3460008	1	3462240 3668366 3691140 3816203 3819309 3461937 3475327 3630915 3691783 3576534 3576535 3797634 3797729 3797803 3910518 
001474	TH129	3098022	2	3540662 3485361 3448314 3446353 
001843	PK229	0056992	4	3463768 3480868 3485912 3580326 3579143 3581081 3483640 3689375 3652273 3817962 3576542 
007128	DAL212A	0162976	3	3464638 3464855 3465327 3469560 3481562 3481607 3691361 3452988 3482264 3487266 3474207 3482194 3483385 3478691 3467199 3478951 3486501 
004377	TH118	0847593	2	3464666 3561026 3576360 3576626 
007040	DAL6	0162976	4	3666520 3484752 3518231 3478951 3498772 3581981 3576336 3576352 3576362 3576387 3576469 3576527 3576577 
014993	TAYG	3195964	4	3464855 3481607 3568950 3581249 3652396 3655393 3695529 3452988 3484334 3581098 3560199 3478691 3652339 3602435 3642332 3694012 3581851 3576364 3576575 3662757 3668763 3668788 3669033 3797659 3797824 3797859 3910769 
005157	BYC239	3555100	2	3463560 3465036 3497948 3581389 3581907 3608602 3667654 3481203 3486623 3560511 3712286 3473086 3679221 3447322 3667311 3668941 3797710 
005723	TH223	3648007	2	3559225 3655428 3668538 3821162 3774021 3819196 3822122 3773692 3797192 3689500 3821016 3694415 3695145 3816708 3819542 3819676 3576430 3576480 3910510 3910580 3910588 3910590 
002713	RCCON	0468281	1	3465181 3465442 3480937 3483567 3487732 3480150 3462237 3478419 3576434 3576504 3576510 3576571 
003444	TAYB	3818518	2	3465442 3575898 3652473 3694813 3819628 3480734 3551641 3619323 3665045 3580340 3796237 3485816 
013170	TAYB	3092941	3	3465181 3465442 3484746 3544254 3629970 3667654 3689402 3485774 3815902 3821088 3578191 3581846 3768555 3551641 3464306 3665045 3480810 3485327 3487505 3488858 
015011	RCCON	0138190	2	3559963 3820729 3474409 3575266 3797764 
004290	PK200	3818521	2	3466014 3468070 3474140 3477824 3581962 3456089 3469520 3477576 3482144 3632720 3581220 3581918 3631042 3458061 3576365 3576425 3627845 3668767 3797728 
011865	PK200	3818521	3	3466014 3468070 3474140 3480714 3491953 3651439 3694039 3581220 3581918 3576365 3576423 3576446 3576483 3576531 
002178	PK264	0180723	1	3466364 3477824 3480710 3481419 3582040 3581605 3574543 3487087 
012326	BYC106	3420576	3	3467452 3510665 3578036 3485028 3464398 3690800 3480423 3483467 3465245 3466962 3823113 3581851 
014204	DAL300	3420576	4	3467452 3559476 3580248 3692285 3695784 3816549 3819177 3483977 3764207 3821886 3480791 3691616 3790306 3678350 3821571 3689931 3690845 3768458 3576546 3797653 3797784 3910762 
004282	PK278	1165566	5	3651439 3694039 3576444 3576623 3633806 
004285	PK259	0802802	4	3469119 3476908 3651293 3481798 3618222 3678357 3505185 3580407 3485504 3603544 3668842 3684090 3797709 3797744 3797768 3910481 
013191	BYC127	0492451	2	3469560 3476930 3524963 3559900 3560373 3578240 3693473 3479311 3558800 3502893 3465245 3481557 3480264 3486311 3503630 3595071 3693433 3797564 3486777 3576399 3576477 3797814 
015243	TH116	0031631	3	3476930 3560373 3693473 3479311 3558800 3502893 3481557 3480264 3486311 3503630 3693433 3797564 
015244	TH111	1167978	2	
002163	PK264	3415849	2	3471447 3471450 3516634 3521265 3559302 3561074 3580269 3505157 3581996 3650578 3581605 3579723 3559149 3574543 3574558 3668829 
002166	PK264	0428815	3	3471447 3471450 3516634 3561074 3580248 3580269 3505157 3581996 3650578 3581605 
011827	PK264	0428815	4	
001757	ROSTUD	3460008	2	3547282 3560687 3481102 3578392 3576299 3576474 3797590 3910744 
003514	DAL10	0995587	4	3481702 3629970 3653119 3481354 3667821 3690204 3482019 3433275 3576532 
011305	EHIII	0029059	5	3568950 3492361 3578842 3477004 3851907 3668801 3910478 
001899	PK126	3459335	4	3462817 3451168 3481690 3457988 
015248	TH129	3786642	3	3475298 3485548 3486834 3693368 3481643 3473086 3462019 
002161	PK264	1083806	5	3430298 3493748 3496673 3514964 3538202 3558739 3591591 3606536 3610287 3648550 3690043 3693813 3694432 3694903 3483298 3579143 3581081 3581232 3656490 3668420 3690806 3692440 3693276 3581038 3631215 3496439 3689375 3591774 3557244 3591844 3650956 3460343 3792350 3820380 3651017 3576513 
014982	BYC127	0899465	3	3475745 3561430 3575259 3667273 3691981 3695285 3540190 3797084 3768972 3790792 
